Year,Global Average Speed (m/s)
2000,1.4382403125351644
2001,1.5532501137890127
2002,1.7091428626420992
2003,1.7234944246374126
2004,1.7024249509163303
2005,
2006,1.4479577535273525
2007,1.5039804752064263
2008,1.5113497689073256
2009,1.3125916323460796
2010,
2011,1.6110870823777121
2012,1.6171093927386404
2013,1.3603109398118456
2014,1.6661408994813687
2015,-5.0
2016,1.739942561308586
2017,1.7411349428930019
2018,1.5861729560564282
2019,1.4170430468695605
2020,1.2902225779204506
2008,1.5113497689073256
2009,1.3125916323460796
